sa2_main11, sa2_name11, poverty_rate_synthetic_estimates, standardised_poverty_rate_synthetic_estimates, feature_code, feature_name
214011370,"Carrum Downs",103,1069174074,"214011370","Carrum Downs"
214011371,"Frankston",12,1.2456396979999995E9,"214011371","Frankston"
214011372,"Frankston North",135,1.4013446609999998E9,"214011372","Frankston North"
214011373,"Frankston South",71,737003488,"214011373","Frankston South"
214011374,"Langwarrin",76,788905142,"214011374","Langwarrin"
214011375,"Seaford (Vic)",104,1079554405,"214011375","Seaford (Vic.)"
214011376,"Skye - Sandhurst",68,705862496,"214011376","Skye - Sandhurst"
214021377,"Dromana",118,1.2248790369999998E9,"214021377","Dromana"
214021378,"Flinders",73,75776415,"214021378","Flinders"
214021379,"Hastings - Somers",119,1235259368,"214021379","Hastings - Somers"
214021380,"Mornington",106,1.1003150670000002E9,"214021380","Mornington"
214021381,"Mount Eliza",57,591678857,"214021381","Mount Eliza"
214021382,"Mount Martha",72,7.473838190000001E8,"214021382","Mount Martha"
214021383,"Point Nepean",131,1.3598233369999998E9,"214021383","Point Nepean"
214021384,"Rosebud - McCrae",127,1.3183020140000002E9,"214021384","Rosebud - McCrae"
214021385,"Somerville",9,9.342297739999999E8,"214021385","Somerville"
